,zipcode,median_household_income,population,median_home_value,major_city,lat,long
310,01519,102300.0,6595.0,366400.0,Grafton,42.203404, -71.679739
311,01520,96780.0,13997.0,282400.0,Holden,42.336372, -71.850626
312,01521,67684.0,2481.0,208900.0,Holland,42.046799, -72.180144
313,01522,93238.0,3310.0,271300.0,Jefferson,42.375634, -71.867382
314,01523,78283.0,7582.0,295600.0,Lancaster,42.483569, -71.675585
315,01524,68899.0,6696.0,239200.0,Leicester,42.249603, -71.919217
316,01525,44857.0,290.0,236500.0,Linwood,42.106794, -71.630518
317,01527,71832.0,13246.0,266100.0,Millbury,42.192246, -71.777649
318,01529,82083.0,3190.0,272800.0,Millville,42.036642, -71.578779
319,01531,82569.0,999.0,255400.0,New Braintree,42.319125, -72.130814
320,01532,108415.0,14155.0,368300.0,Northborough,42.323342, -71.646236
321,01534,85000.0,5631.0,318200.0,Northbridge,42.142074, -71.643348
322,01535,54439.0,4680.0,204900.0,North Brookfield,42.267564, -72.066876
323,01536,76063.0,6888.0,297800.0,North Grafton,42.231309, -71.692642
324,01537,72607.0,2248.0,220400.0,North Oxford,42.158966, -71.897051
325,01540,68986.0,11291.0,245700.0,Oxford,42.116263, -71.857465
326,01541,120607.0,3413.0,352900.0,Princeton,42.454125, -71.877540
327,01542,74273.0,2202.0,249400.0,Rochdale,42.204251, -71.908907
328,01543,86482.0,7973.0,268800.0,Rutland,42.388285, -71.969865
329,01545,92360.0,35299.0,362600.0,Shrewsbury,42.284767, -71.714228
330,01550,42471.0,16719.0,200000.0,Southbridge,42.059737, -72.033908
331,01560,81667.0,4527.0,353900.0,South Grafton,42.175395, -71.674223
332,01561,19637.0,330.0,,South Lancaster,42.443970, -71.685583
333,01562,60197.0,11688.0,254400.0,Spencer,42.247211, -71.991867
334,01564,98872.0,7808.0,332500.0,Sterling,42.447924, -71.776045
335,01566,82750.0,6294.0,286700.0,Sturbridge,42.103214, -72.079545
336,01568,105208.0,7480.0,388000.0,Upton,42.176526, -71.603588
337,01569,86164.0,13569.0,286700.0,Uxbridge,42.055930, -71.631232
338,01570,47885.0,16767.0,225400.0,Webster,42.047532, -71.846952
339,01571,70590.0,11390.0,243900.0,Dudley,42.053778, -71.935075
340,01581,100905.0,18272.0,397300.0,Westborough,42.268426, -71.613309
341,01583,72107.0,7591.0,273100.0,West Boylston,42.369417, -71.785036
342,01585,62667.0,4554.0,227100.0,West Brookfield,42.240796, -72.162645
343,01588,62649.0,9733.0,283700.0,Whitinsville,42.118794, -71.672494
344,01590,110658.0,8875.0,360800.0,Sutton,42.132051, -71.750318
345,01602,62832.0,22819.0,226200.0,Worcester,42.269189, -71.850728
346,01603,48183.0,19916.0,188700.0,Worcester,42.243826, -71.843569
347,01604,49797.0,34677.0,219100.0,Worcester,42.253254, -71.767957
348,01605,37705.0,26221.0,209200.0,Worcester,42.289683, -71.787793
349,01606,66912.0,19077.0,216500.0,Worcester,42.315249, -71.795741
350,01607,45152.0,8351.0,189300.0,Worcester,42.225974, -71.788894
351,01608,19418.0,3888.0,64000.0,Worcester,42.261980, -71.801462
352,01609,40660.0,22421.0,292900.0,Worcester,42.285114, -71.829987
353,01610,30532.0,23945.0,191800.0,Worcester,42.247049, -71.808366
354,01611,67179.0,2242.0,226500.0,Cherry Valley,42.237604, -71.875838
355,01612,106708.0,4845.0,285800.0,Paxton,42.296798, -71.928991
356,01701,86994.0,31217.0,356800.0,Framingham,42.319587, -71.442800
357,01702,53944.0,37206.0,305400.0,Framingham,42.282379, -71.436621
358,01718,132981.0,469.0,267400.0,Village Of Nagog Woods,42.519816, -71.429283
359,01719,101502.0,4996.0,492700.0,Boxborough,42.485985, -71.520985
360,01720,109578.0,21361.0,480700.0,Acton,42.483953, -71.438495
361,01721,93233.0,16593.0,347900.0,Ashland,42.257755, -71.473526
362,01730,108818.0,13221.0,540400.0,Bedford,42.499295, -71.281889
363,01731,75446.0,1396.0,,Hanscom Afb,42.456748, -71.279484
364,01740,146029.0,4897.0,477300.0,Bolton,42.439941, -71.601879
365,01741,160034.0,4852.0,754700.0,Carlisle,42.536620, -71.361832
366,01742,135217.0,17726.0,686700.0,Concord,42.462911, -71.364496
367,01745,57250.0,397.0,353800.0,Fayville,42.292114, -71.499197
368,01746,110323.0,13547.0,382400.0,Holliston,42.195951, -71.453430
369,01747,89408.0,5911.0,316900.0,Hopedale,42.123007, -71.531404
370,01748,129578.0,14925.0,515200.0,Hopkinton,42.224096, -71.540489
371,01749,71971.0,19063.0,295800.0,Hudson,42.389071, -71.545864
372,01752,70304.0,38499.0,307500.0,Marlborough,42.349617, -71.547214
373,01754,77622.0,10106.0,327400.0,Maynard,42.425955, -71.456256
374,01756,105389.0,5839.0,372200.0,Mendon,42.093870, -71.544519
375,01757,66547.0,28061.0,301000.0,Milford,42.158692, -71.521419
376,01760,95328.0,32786.0,425600.0,Natick,42.284822, -71.348811
377,01770,153444.0,4119.0,712700.0,Sherborn,42.231947, -71.372963
378,01772,150129.0,9370.0,500000.0,Southborough,42.302877, -71.530828
379,01773,149539.0,5112.0,854300.0,Lincoln,42.425506, -71.310812
380,01775,115714.0,6590.0,437500.0,Stow,42.429688, -71.512514
381,01776,170924.0,17659.0,632800.0,Sudbury,42.383367, -71.421070
382,01778,130022.0,13109.0,589700.0,Wayland,42.343687, -71.381186
383,01801,75138.0,38903.0,363100.0,Woburn,42.488769, -71.154438
384,01803,94272.0,24487.0,413000.0,Burlington,42.503227, -71.201713
385,01810,112681.0,33201.0,543900.0,Andover,42.648044, -71.161751
386,01821,87996.0,30310.0,338000.0,Billerica,42.549330, -71.251725
387,01824,104538.0,24911.0,352100.0,Chelmsford,42.590790, -71.355182
388,01826,78169.0,29422.0,284600.0,Dracut,42.679723, -71.300680
389,01827,119022.0,3179.0,437200.0,Dunstable,42.676149, -71.499772
390,01830,55255.0,25137.0,266400.0,Haverhill,42.796313, -71.053436
391,01832,57833.0,22060.0,236800.0,Haverhill,42.791114, -71.132859
392,01833,107775.0,8183.0,395700.0,Georgetown,42.727879, -70.982036
393,01834,97463.0,6459.0,354200.0,Groveland,42.753900, -71.015935
394,01835,72228.0,13682.0,266300.0,Haverhill,42.751233, -71.094300
395,01840,18261.0,4733.0,302800.0,Lawrence,42.706763, -71.160403
396,01841,31214.0,47225.0,212800.0,Lawrence,42.712015, -71.164873
397,01843,42891.0,24425.0,220000.0,Lawrence,42.689974, -71.160383
398,01844,67556.0,47249.0,278900.0,Methuen,42.742468, -71.179218
399,01845,96002.0,28352.0,437900.0,North Andover,42.673909, -71.091334
400,01850,51538.0,15237.0,206300.0,Lowell,42.656045, -71.303309
401,01851,51630.0,30190.0,243800.0,Lowell,42.627812, -71.335330
402,01852,48951.0,33508.0,236000.0,Lowell,42.631912, -71.296025
403,01854,42947.0,27606.0,218300.0,Lowell,42.649481, -71.348229
404,01860,79423.0,6338.0,308600.0,Merrimac,42.838603, -71.011997
405,01862,85497.0,10227.0,331000.0,North Billerica,42.578543, -71.295592
406,01863,81160.0,8891.0,289400.0,North Chelmsford,42.633780, -71.389470
407,01864,110852.0,14892.0,429100.0,North Reading,42.578222, -71.084398
408,01867,105524.0,23956.0,438100.0,Reading,42.535183, -71.105423
409,01876,90897.0,28667.0,330700.0,Tewksbury,42.611801, -71.227571
410,01879,90987.0,11305.0,344700.0,Tyngsboro,42.667762, -71.428820
411,01880,84556.0,24733.0,407800.0,Wakefield,42.501524, -71.067489
412,01886,124464.0,21951.0,448100.0,Westford,42.585541, -71.440250
413,01887,99508.0,22325.0,375000.0,Wilmington,42.564647, -71.164516
414,01890,131000.0,21382.0,676800.0,Winchester,42.452752, -71.144319
415,01901,23467.0,1689.0,139900.0,Lynn,42.460419, -70.946379
